1,285,6.5,219.5,62,96,90,23.2,7.8,34,0.19,0.22,0.6,20.2,0,11.26086957,1
0.3,154.8,6.7,119.2,18,50,34,2.4,6.8,30,0.28,0.16,0,14.3,0,0,1
0.6,489,6.5,376.5,46,184,186,44.8,17.9,30,0.2,0.16,0,19.2,0,11.26086957,1
0.7,390,6.9,300.3,30,128,150,35.2,15.1,26,0.46,0.12,0,21.5,506.199241,11.26086957,1
0.5,151.3,6.7,116.5,20,52,14,4,0.9,30,0.12,0,0,11.2,0,11.26086957,1
0.3,369,7.7,284.1,14,150,142,32.8,14.6,46,0.21,0.3,0,34.5,0,11.26086957,1
0.4,359,6.5,276.4,6,42,138,36.04,11.7,70,0.43,0,29.5,22.5,506.199241,11.26086957,1
0.7,263,6.5,202.5,28,90,74,12.01,10.7,34,0.24,0.07,0,18.9,506.199241,11.26086957,1
1,260,6.7,200.2,16,96,94,27.2,6.3,26,0.18,0.14,0,34.4,0,0,1
0.9,263,7.1,202.5,18,52,11,33,7.8,50,0.3,0.14,0,15.2,506.199241,11.26086957,1
0.1,127.3,6.9,98,8,34,0.6,1.6,0.4,38,0.03,0.3,9.975805169,16.2,0,11.26086957,1
0.2,154,6.7,118.5,10,40,6,1.6,0.4,26,0.53,0.07,9.975805169,10.5,0,11.26086957,1
0.6,333,6.8,256.4,36,86,154,38.4,14.1,14,0.08,0.11,0,11.6,0,11.26086957,1
0.9,348,6.5,267.9,28,46,74,14.4,9.2,74,0.14,0.12,9.975805169,14,0,11.26086957,1
0.9,93.8,6.6,72.2,10,34,20,4.8,1.9,22,0.07,0.3,9.975805169,4.1,0,11.26086957,1
1,110.5,7.6,85,4,30,28,8.01,1.9,18,0.28,0.28,9.975805169,2.4,0,11.26086957,1
0.9,546,6.8,420.4,24,128,100,31.2,5.3,52,0.29,0.3,9.975805169,57.6,0,0,1
0.8,327,6.8,251.8,36,92,112,44.1,0.5,32,0.16,0.29,3.4,20.3,0,11.26086957,1
1,74,6.6,56.9,46,22,20,4,2.4,30,0.19,0.3,0,4.5,506.199241,11.26086957,1
0.8,154.8,6.5,119.2,42,8,16,4.01,1.5,90,0.19,0.21,0.9,14.2,0,0,1
0.4,66.8,7.7,51.4,22,20,12,2.4,1.5,54,0.09,0.14,0,12.2,0,11.26086957,1
0.7,225,6.5,173.3,14,60,40,12.8,1.9,42,0.48,0.3,5.53,11.2,0,11.26086957,1
0.7,503,6.5,387.3,44,66,120,43.3,2.9,66,0.42,0.19,15.3,21.5,0,11.26086957,1
1,334,6.8,257.2,42,66,76,20.8,5.8,56,0.18,0.19,0,36.4,506.199241,11.26086957,1
0.8,271,7.5,208.7,14,56,78,32.8,1.9,50,0.12,0.18,8.4,18.9,0,11.26086957,1
